DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Charter,Departure,Domestic,6
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,269
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Commuter,Departure,Domestic,269
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,2023
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,2022
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Charter,Arrival,Domestic,9
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Charter,Arrival,International,2
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Charter,Departure,Domestic,6
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,322
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Commuter,Departure,Domestic,322
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,2060
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,2058
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Charter,Arrival,Domestic,10
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Charter,Departure,Domestic,9
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,298
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Commuter,Departure,Domestic,298
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,1990
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,1990
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Charter,Arrival,Domestic,1
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Charter,Departure,Domestic,1
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,264
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Commuter,Departure,Domestic,264
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,1847
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,1842
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Charter,Arrival,Domestic,6
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Charter,Departure,Domestic,8
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,239
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Commuter,Departure,Domestic,239
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,1966
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,1962
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Charter,Arrival,Domestic,16
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Charter,Departure,Domestic,13
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,258
