DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,08/01/2011 12:00:00 AM,Departure,International,Freight,324
05/01/2014 12:00:00 AM,08/01/2011 12:00:00 AM,Departure,International,Mail,0
05/01/2014 12:00:00 AM,09/01/2011 12:00:00 AM,Arrival,Domestic,Freight,15373
05/01/2014 12:00:00 AM,09/01/2011 12:00:00 AM,Arrival,Domestic,Mail,783
05/01/2014 12:00:00 AM,09/01/2011 12:00:00 AM,Arrival,International,Freight,3100
05/01/2014 12:00:00 AM,09/01/2011 12:00:00 AM,Departure,Domestic,Freight,17584
05/01/2014 12:00:00 AM,09/01/2011 12:00:00 AM,Departure,Domestic,Mail,670
05/01/2014 12:00:00 AM,09/01/2011 12:00:00 AM,Departure,International,Freight,1343
05/01/2014 12:00:00 AM,10/01/2011 12:00:00 AM,Arrival,Domestic,Freight,15022
05/01/2014 12:00:00 AM,10/01/2011 12:00:00 AM,Arrival,Domestic,Mail,666
05/01/2014 12:00:00 AM,10/01/2011 12:00:00 AM,Arrival,International,Freight,2806
05/01/2014 12:00:00 AM,10/01/2011 12:00:00 AM,Departure,Domestic,Freight,17001
05/01/2014 12:00:00 AM,10/01/2011 12:00:00 AM,Departure,Domestic,Mail,674
05/01/2014 12:00:00 AM,10/01/2011 12:00:00 AM,Departure,International,Freight,1343
05/01/2014 12:00:00 AM,11/01/2011 12:00:00 AM,Arrival,Domestic,Freight,15403
05/01/2014 12:00:00 AM,11/01/2011 12:00:00 AM,Arrival,Domestic,Mail,729
05/01/2014 12:00:00 AM,11/01/2011 12:00:00 AM,Arrival,International,Freight,2663
05/01/2014 12:00:00 AM,11/01/2011 12:00:00 AM,Departure,Domestic,Freight,17522
05/01/2014 12:00:00 AM,11/01/2011 12:00:00 AM,Departure,Domestic,Mail,655
05/01/2014 12:00:00 AM,11/01/2011 12:00:00 AM,Departure,International,Freight,1242
05/01/2014 12:00:00 AM,12/01/2011 12:00:00 AM,Arrival,Domestic,Freight,16574
05/01/2014 12:00:00 AM,12/01/2011 12:00:00 AM,Arrival,Domestic,Mail,784
05/01/2014 12:00:00 AM,12/01/2011 12:00:00 AM,Arrival,International,Freight,2687
05/01/2014 12:00:00 AM,12/01/2011 12:00:00 AM,Departure,Domestic,Freight,17593
05/01/2014 12:00:00 AM,12/01/2011 12:00:00 AM,Departure,Domestic,Mail,685
05/01/2014 12:00:00 AM,12/01/2011 12:00:00 AM,Departure,International,Freight,1266
05/01/2014 12:00:00 AM,01/01/2012 12:00:00 AM,Arrival,Domestic,Freight,14228
05/01/2014 12:00:00 AM,01/01/2012 12:00:00 AM,Arrival,Domestic,Mail,761
