DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,53188
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,53413
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,136809
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,135827
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,34
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Misc. Terminal,Arrival,International,45
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Misc. Terminal,Departure,Domestic,280
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,58814
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,59433
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,147316
05/01/2014 12:00:00 AM,10/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,145195
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,International Terminal,Arrival,International,1364
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,761
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Misc. Terminal,Arrival,International,57
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Misc. Terminal,Departure,Domestic,173
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,54748
05/01/2014 12:00:00 AM,11/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,54571
