DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,Domestic,Mail,2801
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,International,Freight,34488
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,International,Mail,1419
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Freight,31711
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1761
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,International,Freight,46107
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,International,Mail,1462
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,Domestic,Freight,34816
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,Domestic,Mail,2537
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,International,Freight,30072
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Departure,International,Mail,1122
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,Domestic,Freight,30279
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1516
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,International,Freight,41545
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Arrival,International,Mail,3449
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,Domestic,Freight,33847
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,Domestic,Mail,2330
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,International,Freight,32161
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Departure,International,Mail,1491
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,Domestic,Freight,32797
